snapshot;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
21;18.36;5.49;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
22;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
23;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
24;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
25;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
26;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
27;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
28;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
29;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
30;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
31;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
32;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
33;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
34;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
35;45.91;-22.05;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
36;29.68;-5.82;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
37;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
38;23.45;0.41;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
39;24.35;-0.49;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
40;25.82;-1.97;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
41;27.63;-3.77;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
42;29.68;-5.82;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
43;30.5;-6.64;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
44;30.33;-6.48;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
45;29.1;-5.25;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
46;29.92;-6.07;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
47;27.63;-3.77;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
48;24.92;-1.07;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
49;23.2;0.66;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
50;22.3;1.56;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
51;20.82;3.03;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
52;19.35;4.51;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
53;18.69;5.16;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
54;18.12;5.74;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
55;18.2;5.66;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
56;17.87;5.98;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
57;17.95;5.9;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
58;17.79;6.07;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
59;16.81;7.05;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
60;15.33;8.53;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
61;16.4;7.46;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
62;22.38;1.48;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
63;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
64;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
65;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
66;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
67;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
68;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
69;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
70;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
71;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
72;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
